analysis,scope,case,method,metric,value,reference,reference_value,absolute_error,relative_error
energy,angular_channels,-1,Finite difference,relative_error_vs_shooting,0.798570851314,shooting,0.798574986432,4.13511748043e-06,5.17812046544e-06
energy,angular_channels,-1,Chebyshev,relative_error_vs_shooting,0.798574986776,shooting,0.798574986432,3.44457240509e-10,4.31339882116e-10
energy,angular_channels,-1,DKB B-spline,relative_error_vs_shooting,0.798569711537,shooting,0.798574986432,5.27489534974e-06,6.60538514148e-06
energy,angular_channels,-1,All methods,cross_method_spread,5.27523980698e-06,max(method energy)-min(method energy),,5.27523980698e-06,
energy,angular_channels,1,Finite difference,relative_error_vs_shooting,0.972555050325,shooting,0.972565268759,1.02184339109e-05,1.05066819052e-05
energy,angular_channels,1,Chebyshev,relative_error_vs_shooting,0.972563616008,shooting,0.972565268759,1.65275112818e-06,1.69937296886e-06
energy,angular_channels,1,DKB B-spline,relative_error_vs_shooting,0.972567285099,shooting,0.972565268759,2.01634060581e-06,2.07321880658e-06
energy,angular_channels,1,All methods,cross_method_spread,1.22347745167e-05,max(method energy)-min(method energy),,1.22347745167e-05,
energy,angular_channels,-2,Finite difference,relative_error_vs_shooting,0.928533146477,shooting,0.9285358974,2.7509231374e-06,2.96264597319e-06
energy,angular_channels,-2,Chebyshev,relative_error_vs_shooting,0.928535923621,shooting,0.9285358974,2.62213691871e-08,2.8239478151e-08
energy,angular_channels,-2,DKB B-spline,relative_error_vs_shooting,0.928524710893,shooting,0.9285358974,1.11865066412e-05,1.20474681405e-05
energy,angular_channels,-2,All methods,cross_method_spread,1.12127280104e-05,max(method energy)-min(method energy),,1.12127280104e-05,
energy,parameter_sets,P1,Finite difference,relative_error_vs_shooting,0.798570162135,shooting,0.798574986432,4.8242970988e-06,6.04113224277e-06
energy,parameter_sets,P1,Chebyshev,relative_error_vs_shooting,0.798574986454,shooting,0.798574986432,2.25452989611e-11,2.82319122739e-11
energy,parameter_sets,P1,DKB B-spline,relative_error_vs_shooting,0.798570918869,shooting,0.798574986432,4.06756282578e-06,5.09352646263e-06
energy,parameter_sets,P1,All methods,cross_method_spread,4.8243196441e-06,max(method energy)-min(method energy),,4.8243196441e-06,
energy,parameter_sets,P2,Finite difference,relative_error_vs_shooting,0.825818658743,shooting,0.825822610052,3.95130850928e-06,4.78469402652e-06
energy,parameter_sets,P2,Chebyshev,relative_error_vs_shooting,0.825822610096,shooting,0.825822610052,4.45589121156e-11,5.3957001871e-11
energy,parameter_sets,P2,DKB B-spline,relative_error_vs_shooting,0.82581901385,shooting,0.825822610052,3.59620164092e-06,4.35469021694e-06
energy,parameter_sets,P2,All methods,cross_method_spread,3.95135306819e-06,max(method energy)-min(method energy),,3.95135306819e-06,
energy,parameter_sets,P3,Finite difference,relative_error_vs_shooting,0.73273036056,shooting,0.73273491952,4.55895952989e-06,6.22184013405e-06
energy,parameter_sets,P3,Chebyshev,relative_error_vs_shooting,0.732734919527,shooting,0.73273491952,6.94455604133e-12,9.47758303356e-12
energy,parameter_sets,P3,DKB B-spline,relative_error_vs_shooting,0.732727335226,shooting,0.73273491952,7.58429379266e-06,1.03506651459e-05
energy,parameter_sets,P3,All methods,cross_method_spread,7.58430073722e-06,max(method energy)-min(method energy),,7.58430073722e-06,
energy,tensor_strength_sweep,-0.12,Finite difference,relative_error_vs_shooting,0.757834845166,shooting,0.757843230371,8.38520527469e-06,1.10645644622e-05
energy,tensor_strength_sweep,-0.12,Chebyshev,relative_error_vs_shooting,0.757843230609,shooting,0.757843230371,2.38233432981e-10,3.14357143316e-10
energy,tensor_strength_sweep,-0.12,DKB B-spline,relative_error_vs_shooting,0.757837569816,shooting,0.757843230371,5.66055534323e-06,7.46929591291e-06
energy,tensor_strength_sweep,-0.12,All methods,cross_method_spread,8.38544350812e-06,max(method energy)-min(method energy),,8.38544350812e-06,
energy,tensor_strength_sweep,-0.0799999999999999,Finite difference,relative_error_vs_shooting,0.77125429595,shooting,0.771262221399,7.92544924022e-06,1.02759463906e-05
energy,tensor_strength_sweep,-0.0799999999999999,Chebyshev,relative_error_vs_shooting,0.771262221698,shooting,0.771262221399,2.9914981603e-10,3.87870438522e-10
energy,tensor_strength_sweep,-0.0799999999999999,DKB B-spline,relative_error_vs_shooting,0.771256590146,shooting,0.771262221399,5.63125314179e-06,7.30134704586e-06
energy,tensor_strength_sweep,-0.0799999999999999,All methods,cross_method_spread,7.92574839004e-06,max(method energy)-min(method energy),,7.92574839004e-06,
energy,tensor_strength_sweep,-0.0399999999999999,Finite difference,relative_error_vs_shooting,0.784866161028,shooting,0.784873564267,7.40323887338e-06,9.43239677119e-06
energy,tensor_strength_sweep,-0.0399999999999999,Chebyshev,relative_error_vs_shooting,0.784873564646,shooting,0.784873564267,3.78673425949e-10,4.82464237795e-10
energy,tensor_strength_sweep,-0.0399999999999999,DKB B-spline,relative_error_vs_shooting,0.784868035024,shooting,0.784873564267,5.52924248343e-06,7.04475565895e-06
energy,tensor_strength_sweep,-0.0399999999999999,All methods,cross_method_spread,7.40361754681e-06,max(method energy)-min(method energy),,7.40361754681e-06,
energy,tensor_strength_sweep,0.0,Finite difference,relative_error_vs_shooting,0.798568155023,shooting,0.798574986432,6.83140925539e-06,8.55449941641e-06
energy,tensor_strength_sweep,0.0,Chebyshev,relative_error_vs_shooting,0.798574986915,shooting,0.798574986432,4.82788697909e-10,6.04562760056e-10
energy,tensor_strength_sweep,0.0,DKB B-spline,relative_error_vs_shooting,0.798569633512,shooting,0.798574986432,5.35291958847e-06,6.70308947741e-06
energy,tensor_strength_sweep,0.0,All methods,cross_method_spread,6.83189204409e-06,max(method energy)-min(method energy),,6.83189204409e-06,
energy,tensor_strength_sweep,0.04,Finite difference,relative_error_vs_shooting,0.812254338875,shooting,0.812260562747,6.22387191684e-06,7.6624081019e-06
energy,tensor_strength_sweep,0.04,Chebyshev,relative_error_vs_shooting,0.812260563371,shooting,0.812260562747,6.24930218684e-10,7.69371612197e-10
