method,resolution,energy,abs_error,runtime_s
FD,200,0.7984918476667471,8.313876522081376e-05,0.02407903900166275
FD,300,0.7985379258627446,3.706056922325729e-05,0.06402947999958997
FD,450,0.7985584810759575,1.6505356010387828e-05,0.00844765899819322
FD,650,0.798567065287403,7.921144564937421e-06,0.006616053000470856
FD,900,0.7985708513144875,4.135117480430495e-06,0.008598427000833908
FD,1200,0.7985726591698872,2.327262080714654e-06,0.010353268000471871
Chebyshev,40,0.7985752918304737,3.053985058176778e-07,0.0027790679996542167
Chebyshev,60,0.7985749882178645,1.785896652783947e-09,0.009332315999927232
Chebyshev,80,0.7985749871649371,7.329692408575283e-10,0.116945706999104
Chebyshev,100,0.7985749869147502,4.827822586150887e-10,0.015616647997376276
Chebyshev,120,0.7985749867764251,3.4445724050868876e-10,0.02312541900028009
Chebyshev,160,0.7985749866341312,2.0216328611155632e-10,0.06529472200054443
DKB B-spline,28,0.7985312516218229,4.3734810144968606e-05,0.008361178999621188
DKB B-spline,34,0.7985722547841827,2.731647785192415e-06,0.008007674998225411
DKB B-spline,40,0.7985695776948241,5.4087371438305e-06,0.11202444299851777
DKB B-spline,46,0.7985697115366182,5.274895349738351e-06,0.17189786699964316
DKB B-spline,52,0.7985655248685525,9.46156341541382e-06,0.15590533199792844
DKB B-spline,58,0.7985707961483859,4.190283582006238e-06,0.10514365000199177
